;processo;sentenca;similar_file;similar_init;similar_processo;similaridade
0;2016.021.058262-9;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
17º JUIZADO ESPECIAL CÍVEL
PROCESSO: 13746-41.2016.8.19.0204
AUTOR:  WELLINGTON DA COSTA REGO
RÉU: BANCO ITAUCARD 
PROJETO DE SENTENÇA
Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 
Reclama o  autor que foi negativado pela ré por debito de cartão de credito cujo fatura estava paga; que a ré continua a efetuar cobranças. Requer cancelamento dos débitos e da negativação e indenização por danos morais. 

Em Contestação a ré alega que o pagamento feito pelo autor em 03/03/2016 foi computado 5 dias uteis depois; sendo cobrado encargos por 18 dias de atraso; que não negativou o nome do autor; impugna o pedido indenizatório. 
O documento de fls.14 comprova que o  autor efetuou o pagamento da fatura vencida em 15/02/2016 apenas em 03/03/2016, sendo as cobranças efetuadas pela ré devidas.
Não há nos autos prova de negativação pela ré, sendo o documento de fls.15, apenas comunicado de futura e eventual negativaçao. 
Desta forma, não há que se falar em cobranças ou negativação indevida pela ré, razão pela qual se tem a improcedência dos pedidos.  

Pelo exposto, JULGO IMPROCEDENTES os pedidos, forma do art. 487 NCPC. Sem custas e honorários, nos termos do art. 55 da Lei 9099/95. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.
Rio de Janeiro, 15 de Julho de 2016.
ANA QUEZIA PEREIRA DE FREITAS
JUIZA LEIGA";000439D4CA64F680CCC0C7A6B3C97A1B47FCC5051819141B;00044C3164248C06E29BA13EE58BBCD833CEC5044552464B;2016.204.013708-0;0.7417871356010437
1;2016.021.058262-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000439D4CA64F680CCC0C7A6B3C97A1B47FCC5051819141B;00044C3164248C06E29BA13EE58BBCD833CEC5044552464B;2016.204.013708-0;0.7417871356010437
2;2016.021.058262-9;"Processo: 0046562-43.2016.8.19.0021 
Autor: LINA MEIRE FREITAS DE OLIVEIRA
Réu: ITAÚ UNIBANCO S/A

PROJETO DE SENTENÇA

Vistos, etc.

Embora dispensado o relatório (artigo 38, caput, da Lei nº 9.099/95), passo a um breve resumo dos fatos.

Trata-se de demanda ajuizada por LINA MEIRE FREITAS DE OLIVEIRA em face de ITAÚ UNIBANCO S/A, ambos já qualificados nos autos, pelo rito sumariíssimo, objetivando liminarmente a expedição de oficio para o SPC e SERASA para que seja excluído seu nome a pedido da Ré; no mérito requer que o Réu seja condenado a dar baixa no débito, ante o comprovado pagamento, a confirmação dos efeitos da tutela, bem como o pagamento de R$ 15.000,00 a título de indenização por dano moral 

Afirma a autora possuía cartão de credito junto à ré, ocorre que após dificuldades financeiras, deixou de adimplir com alguns compromissos, inclusive o pagamento mensal da fatura de seu cartão de crédito, administrado pela ré. Alega que em janeiro/2016, recebeu em sua residência uma cobrança no valor de R$ 636,67 e efetuou o pagamento de boa fé em 26/01/2016, conforme comprovante, porém, para sua surpresa no mês de fevereiro/2016 continuou a receber cobranças da ré. Aduz que entrou em contato com o Réu e não obteve êxito.

A parte ré foi citada e ofereceu contestação escrita com preliminar e com documentos. Suscita a preliminar de inépcia da inicial requerendo a aplicação do Enunciado 02.2016 do TJ/COJES. No mérito, sustenta que inexiste direito a ser amparado à parte autora. Requereu a improcedência do pedido. 

É o breve relatório. 

Não há dúvida ser de consumo a relação jurídica conflitiva. A ré se subsumi no caput do art. 3.º do Código de Defesa do Consumidor. O serviço que presta alberga-se no § 2.º do Código de Defesa do Consumidor. Estão presentes o pressuposto subjetivo e objetivo de tal relação.

Narrou à parte autora que realizou o pagamento da fatura do seu cartão de crédito, com atraso, que mesmo tendo realizado o pagamento de sua dívida o Réu permaneceu realizando cobranças em seu nome.

Analisando a documentação acostada aos autos se verifica que a parte autora não apresentou as faturas de cobranças emitidas pelo Réu, assim como não apresentou o comprovante de pagamento em que alegou ter realizado com atraso.

O Réu, por sua vez apresentou as faturas com os débitos e pagamentos realizados pela parte autora, no corpo de sua contestação, no entanto, em audiência de instrução o patrono da parte autora impugnou os documentos apresentados pelo Réu (fls.77).

No caso presente, a petição inicial carece de informações fundamentais ao correto julgamento da lide, sem as quais torna-se impossível prolatar sentença líquida.

Em casos tais, deve a parte autora juntar aos autos planilha demonstrativa dos valores que entende que são indevidos, mencionando ainda em que meses foram cobrados, bem como as faturas de cobranças emitidas pelo Réu, no período impugnado, com os respectivos comprovantes de pagamentos.

A simples exibição de mensagem de texto de celular não supre a necessidade de apresentação das faturas e planilha acima mencionada. 

Cumpre destacar que a parte autora requereu, em sua inicial, a produção de todas as provas em direito permitidas.

Assim, o pedido de baixa do débito existente em nome da parte autora, sem que seja apresentada as faturas com os respectivos comprovantes de pagamentos, deve ser julgado extinto sem resolução do mérito, ante a necessidade de realização de perícia. 

Resta prejudicado o pedido de indenização por dano moral.

Por todo o acima exposto, e mais o contido nos autos, com base no artigo 40, da Lei 9.099/95, JULGO EXTINTO O PROCESSO SEM RESOLUÇÃO DO MÉRITO, na forma do art. 51, II da Lei nº 9.099/95.

Outrossim, ante a preliminar suscitada pelo Réu, determino à parte autora para que junte aos autos comprovante de residência oriundo de concessionária de serviço público (Luz, água, telefone FIXO ou gás) ou declaração daquele com quem resida ou declaração da associação de moradores, em 05 (cinco) dias, sob pena de desconsideração da sentença e extinção do processo sem resolução do mérito.

Sem custas ou honorários, conforme art. 55 da Lei nº. 9.099/95.

Após, o trânsito em julgado, dê-se baixa e arquivem-se, advertidas as partes da possibilidade de se incinerarem os autos após 180 dias do arquivamento definitivo (art. 1º, Ato Normativo Conjunto 01/2005, publicado no Diário Oficial em 07/01/2005), pelo que defiro, desde logo, o desentranhamento dos documentos originais, por quem os juntou, mediante a substituição por cópias. 

Observe o cartório o nome do advogado da parte ré, conforme pedido na contestação para futuras publicações.

Publique-se. Registre-se. Intimem-se.

Duque de Caxias, 12 de dezembro de 2016

________________________________________
Vanessa Vieira da Silva Cardoso de Lima Salles
Juíza Leiga

Façam-se os autos conclusos ao MM. Juiz de Direito, Presidente deste Juizado Especial Cível, para apreciação do presente parecer, a teor do art. 40, da Lei nº 9.099/95.";0004F8729652D490791DF9C63EE2856F64FFC50540532919;00042E2B3593C665016458DA55571CFD125EC5045B35481A;2016.021.045760-4;0.7193022966384888
3;2016.021.058262-9;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;0004F8729652D490791DF9C63EE2856F64FFC50540532919;00042E2B3593C665016458DA55571CFD125EC5045B35481A;2016.021.045760-4;0.7193022966384888
4;2016.021.058262-9;"Processo nº:		 0035011-87.2016.8.19.0208    
Parte Autora: 	 VILMA MARIA MELGAÇO RODRIGUES
Parte Ré: 		BANCO ITAUCARD S A


Projeto de Sentença

Trata-se de ação em que a parte Autora alega  falha na prestação dos serviços,  pois  possui cartão do banco Réu e nunca efetuou o pagamento de anuidade, mas a partir da fatura com vencimento em 05/04/2016, o banco Réu passou a cobrar anuidade no valor de R$ 66.75. Informa que tentou resolver administrativamente a questão, sem obter êxito.

Pretende com a presente ação  que a Ré seja  condenada  na devolução em dobro dos valores cobrados, bem como na condenação ao pagamento de danos morais.

A parte  Ré em sua peça de bloqueio,  requer a improcedência total dos pedidos, pois não praticou nenhum ato que pudesse ser fato gerador de dano moral para o Autor. Informa por fim que efetuou o estorno do valor cobrado na fatura de janeiro de 2017.

Na audiência de realizada, a parte Autora não estava com a fatura com vencimento em janeiro de 2017, para confirmar o estorno dos valores cobrados.

Este é o breve relatório na forma do art. 38 da Lei nº 9.099/95, passo a decidir.

Inexiste preliminar a dirimir, razão pela qual, reconhecendo a existência dos pressupostos processuais e das condições de regular desenvolvimento acionário, passo ao exame do mérito.

Cabe destacar que a relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ artigos 2o e 3o da Lei 8078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3º da citada lei) de tal relação. 

A parte autora faz prova do alegado através da juntada dos documentos (faturas mensais)  que acompanham a inicial, demonstrando que a anuidade não era cobrada.

Incumbia a ré o ônus de provar que informou adequadamente a  parte Autora da existência de cobrança de anuidade, trazendo aos autos contrato contendo a assinatura da parte Autora,  contendo esta previsão de cobrança de anuidade, o que não logrou fazer.

Diante da ausência de prova, por parte da ré, quanto a existência de contrato assinado entre as partes legitimando as cobranças efetuadas, procedente se mostra o pedido de devolução do valor pago em dobro.

Além disso, deve ser reconhecida a aplicação do princípio da boa-fé objetiva da autora, já que os fatos narrados pela mesma são dotados de verossimilhança, e representam situação que se mostra comum no dia a dia. 

Presumem-se, portanto, verdadeiros os fatos narrados pela autora em sua petição inicial de que a parte Autora não foi informada, na ocasião da contratação do cartão de crédito, que o mesmo possuía anuidade a ser paga.

É cediço que a Ré responde objetivamente, independente da existência ou não de culpa, fundado na teoria do risco do empreendimento.  Como fornecedor, correm por sua conta os riscos do seu empreendimento, cabendo-lhe arcar com os prejuízos decorrentes de seu erro, ou descaso.  

Em assim sendo, tenho como procedentes as razões invocadas ao embasamento da pretensão autoral  para devolução do valor das anuidades pagas, em dobro.

No que pertine ao pedido de compensação por danos morais, é entendimento deste Juízo que o mero inadimplemento contratual não configura por si só dano moral, visto não agride a dignidade humana. 

Afora a cobrança indevida realizada, não houvera a efetivação de nenhum outro ato que extrapolasse o cunho patrimonial do contrato e que atingisse a dignidade do autor. Inexiste nos autos qualquer prova de que a conduta da Ré haja, de forma real e concreta, imposto a parte autora extraordinária dor, vexame ou humilhação, nem tampouco extremada ofensa à sua dignidade e honra, de forma a ensejar o advento do dano moral indenizável. 

A este respeito, releva notar que meros dissabores ou aborrecimentos cotidianos, inerentes à vida moderna, não constituem fato gerador do prejuízo extrapatrimonial passível de ensejar a obrigação de indenizar. 

Diante do acima exposto, JULGO PROCEDENTE EM PARTE O PEDIDO DA PARTE AUTORA para Condenar a Ré a  pagar para a autora o valor de R$ 801,00 (oitocentos e um reais), valor este já em dobro,  a título de danos materiais, com juros e correção monetária a contar desde a citação, corrigida monetariamente com base nos índices oficiais da CGJ e acrescida de juros na taxa de 1% (um por cento) ao mês, a partir da leitura da presente.

Por fim, JULGO IMPROCEDENTE o pedido de indenização por danos morais por ausência de violação a qualquer direito da personalidade do autor.

Em conseqüência, JULGO o processo extinto, com julgamento do mérito, na forma do artigo 487, I, do CPC.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.

Ficam, ainda, as partes intimadas de que em se tratando de sentença condenatória ao pagamento de quantia certa, o prazo previsto no art. 523 do CPC, para incidência da multa ali prevista (10%), contar-se-á da data do trânsito em julgado. 

Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. Cientes as partes de que decorridos 90 dias da data do arquivamento definitivo os autos processuais serão eliminados, nos termos do artigo 1º do Ato Normativo Conjunto 01/2005, publicado no DORJ de 07/01/05.

Projeto de sentença sujeito à homologação, assim, remeto os autos a MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.";00048F64A01CBA1342D0C8DC4CEFCF8E1198C5060F2E1C16;0004DE0BD1A38AE2F6EE5C577D0A56D440D5C5053A4E445C;2016.208.034590-8;0.7136052846908569
5;2016.021.058262-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;00048F64A01CBA1342D0C8DC4CEFCF8E1198C5060F2E1C16;0004DE0BD1A38AE2F6EE5C577D0A56D440D5C5053A4E445C;2016.208.034590-8;0.7136052846908569
6;2016.021.058262-9;"Dispensado o relatório, na forma da lei. Não assiste razão à parte autora. Breve análise do documento de fl. 14 evidencia a divergência entre o código de barras da fatura e aquele indicado no comprovante do pagamento, ausente irregularidade praticada pelo réu ao não contabilizar o valor como crédito. A improcedência de todos os pedidos é mesmo impositiva.
Isto posto, RESOLVE-SE O MÉRITO, na forma do artigo 487, I, do NCPC, julgando-se IMPROCEDENTES os pedidos.
Ausentes despesas processuais ou honorários, descabidos nesta fase. P.R.I., cientificadas as partes acerca das regras do artigo 523 e parágrafos. Após certificado o trânsito em julgado, dê-se baixa e arquive-se.";0004CFDD95F1BA35C44112CDA10761000CAAC505553D550C;0004D77B39A59F5D08D9ADF90270BA251209C50513515023;2016.021.055324-1;0.7051336765289307
7;2016.021.058262-9;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação pelo procedimento sumaríssimo por meio da qual a parte autora requer seja o réu condenado a compensar os danos morais experimentados por ter ficar impossibilitada de usar o cartão de crédito/débito. O réu afirma que não praticou conduta ilícita, pois o plástico foi cancelado por suspeita de fraude, pelo que não há danos a serem compensados.
	Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a analisar o mérito. 
A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
	Nesse contexto, tem-se que o CDC estabelece que é dever do fornecedor transmitir informação adequada e clara sobre os diferentes produtos e serviços, com especificação correta de quantidade, características, composição, qualidade e preço, bem como sobre os riscos que apresentem (art. 6º, III).
	Informação adequada, nos termos do art. 6º, III, do CDC, é aquela que se apresenta simultaneamente completa, gratuita e útil, vedada, neste último caso, a diluição da comunicação efetivamente relevante pelo uso de informações soltas, redundantes ou destituídas de qualquer serventia para o consumidor.
	Nas práticas comerciais, instrumento que por excelência viabiliza a circulação de bens de consumo, a oferta e apresentação de produtos ou serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidades, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentam à saúde e segurança dos consumidores (art. 31 do CDC). 
	Segundo Herman Benjamin, a obrigação de informação é desdobrada pelo art. 31 do CDC, em quatro categorias principais, imbricadas entre si: a) informação-conteúdo (= características intrínsecas do produto e serviço), b) informação-utilização (= como se usa o produto ou serviço), c) informação-preço (= custo, formas e condições de pagamento), e d) informação-advertência (= riscos do produto ou serviço). 
	Assim, tem-se que a obrigação de informação exige comportamento positivo, pois o CDC rejeita tanto a regra do ""caveat emptor"" como a subinformação, o que transmuda o silêncio total ou parcial do fornecedor em patologia repreensível, relevante apenas em desfavor do profissional, inclusive como oferta e publicidade enganosa por omissão. 
	No caso em tela verifica-se o vício de informação, uma vez que, em que pese o réu pudesse fazer o bloqueio do cartão, em nenhum momento a autora foi informada de que o cartão seria bloqueado, de forma a evitar que passasse por situação vexatória. Por isso, há falha na prestação do serviço e, consequentemente, responsabilidade do fornecedor.
Seguindo-se a isso, tem-se que a lei somente afasta essa responsabilidade nos casos de fato exclusivo da vítima, fato de terceiro e caso fortuito ou força maior. No caso em tela, não verifico a existência de qualquer causa capaz de afastar o nexo de causalidade, impondo-se a responsabilidade pelos danos causados por sua conduta. 
Trata-se de responsabilidade objetiva pelo fato do serviço, fundada na teoria do risco do empreendimento, segundo a qual todo aquele que se dispõe a exercer alguma atividade no campo do fornecimento de bens e serviços tem o dever de responder pelos fatos e vícios resultantes do empreendimento independentemente de culpa. Esta obrigação é imanente ao dever de obediência às normas técnicas e de segurança, decorrendo a responsabilidade do simples fato de dispor-se alguém a realizar atividade de executar determinados serviços. Em suma, os riscos do empreendimento correm por conta do fornecedor de serviços e não do consumidor. 
Embora afirme a parte ré que a parte autora não sofreu dano moral, esta passou vexame no estabelecimento comercial por não poder pagar as suas compras, o que causaria em qualquer pessoa um enorme sentimento de frustração.
Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados, não havendo como se negar que tal fato lhe gerou danos. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
Em face do exposto, JULGO PROCEDENTE em parte O PEDIDO para condenar a ré a: a) a pagar à parte autora a quantia de R$ 2.000,00 (dois mil reais) a título de compensação dos danos morais,  quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença; b) desbloquear o cartão da autora, no prazo de 15 dias, sob pena de pagamento de multa diária de R$ 100,00 que vigerá por trinta dias.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;0004A8EB36A4C5FE7ECBD9B511F46DBA7795C5051A291F3A;2016.063.008306-3;0.703644871711731
8;2016.021.058262-9;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se e intimem-se as partes da sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.	";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;0004A8EB36A4C5FE7ECBD9B511F46DBA7795C5051A291F3A;2016.063.008306-3;0.703644871711731
9;2016.021.058262-9;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito dê-se baixa e arquive-se.";0004F4805B6DCF5144DC7CFB4DC7A7628B69C50603084509;0004B7FF4CEBA289076A932B44BB97CB72F9C5050D263A1F;2016.063.012769-8;0.7016672492027283
