;processo;sentenca;similar_file;similar_processo
0;2016.021.027789-4;"8082    Dispensado o relatório, na forma do Art. 38, c...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00046D7CB38C847013E367C7DA5033B67360C50535130612;['2016.021.027534-4']
1;2016.021.027789-4;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;00046D7CB38C847013E367C7DA5033B67360C50535130612;['2016.021.027534-4']
2;2016.021.027789-4;"5589    Vistos, etc.\nDispensado relatório nos termos ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00044D2FEEB22452C3D1EE661AF369326FBCC505293D3E5F;['2016.021.031011-3']
3;2016.021.027789-4;"5098    Vistos, etc.\nDispensado relatório nos termos ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00044D2FEEB22452C3D1EE661AF369326FBCC505293D3E5F;['2016.021.031011-3']
4;2016.021.027789-4;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;00044D2FEEB22452C3D1EE661AF369326FBCC505293D3E5F;['2016.021.031011-3']
5;2016.021.027789-4;"Em 8 de novembro de 2016, às 12:20  horas, na sala de audiências deste Juízo, onde presente se encontrava o MM. Juiz de Direito, Drª. CHRISTIANNE FERRARI. Procedido ao pregão, responderam as partes acompanhadas de seus advogados.

ABERTA A AUDIÊNCIA, resultaram infrutíferos os esforços para conciliação. 

Não havendo outras provas, passou-se à prolação de sentença. Dispensado relatório pormenorizado, DECIDE-SE: Não nega a ré a possibilidade de troca do produto ou devolução do valor pago, mas argumenta recusa da autora, o que em parte foi por ela confirmado em audiência, ao relatar recusar qualquer proposta após tantas reclamações não atendidas. Não obstante, e ante o conteúdo da contestação, o desfazimento do negócio, com a devolução do valor pago devidamente corrigido, é medida impositiva. Dos fatos, todavia, não se extrai dano moral, tratando-se de mero inadimplemento contratual. 

Isto posto, resolve-se o mérito na forma do art. 487, I do CPC, julgando-se:
 
 (a) PROCEDENTE o primeiro pedido, para CONDENAR a parte ré a pagar à parte autora, a titulo de danos materiais, o valor de R$ 1.799,90, fluindo a correção monetária a contar de novembro de 2015, e juros de mora de 1% ao mês a partir da citação. Após o pagamento, fica a ré autorizada a retirar o produto da residência da parte autora em até 20 dias, pena de sua perda a favor do consumidor; e
(b) IMPROCEDENTE o pedido de reparação por danos morais.

Ausentes despesas processuais e honorários. Publicada em audiência e dela intimados os presentes, inclusive para os fins do art. 523 e §§ do CPC. Registre-se. Após certificado o trânsito em julgado, dê-se baixa e arquivem-se.

NADA MAIS HAVENDO, às 12:32 horas, mandou o MM Juiz que se encerrasse a presente. Eu, Gisele Lago, Secretária, mat. 01/28.233, digitei, e eu, ____________,  Escrivão,  subscrevo. 

";000459D85A16D2A6300F53C141783CD1FC8BC5053C122703;['2016.021.031766-1']
6;2016.021.027789-4;"7456    Processo nº: 0003700-78.2016.8.19.0208\nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004B7F134DCC3A6A20A4B4B22D7EF9DECF3C505214D4150;['2016.208.003659-6']
7;2016.021.027789-4;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;0004B7F134DCC3A6A20A4B4B22D7EF9DECF3C505214D4150;['2016.208.003659-6']
8;2016.021.027789-4;"4527    PROCESSO Nº 0009275-46.2016.8.19.0021\n \nAUTO...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004D249DF5AF0744ED1887B730E4A098C0DC5050F5E4639;['2016.021.009001-0']
9;2016.021.027789-4;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;0004D249DF5AF0744ED1887B730E4A098C0DC5050F5E4639;['2016.021.009001-0']
