;processo;sentenca;similar_file;similar_processo
0;2016.021.000099-9;"5613    TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIR...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00049D794CFDB04E811525E76070F71A09F6C5052E040B3A;['2016.208.010559-4']
1;2016.021.000099-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;00049D794CFDB04E811525E76070F71A09F6C5052E040B3A;['2016.208.010559-4']
2;2016.021.000099-9;"1) Consta no corpo da sentença, o acolhimento de preliminar de ilegitimidade passiva arguida, conforme fls. 165. 
Embargos de declaração tempestivos que são rejeitados porque inexistem os vícios previstos no art.565 do CPC na sentença alvejada, que deve permanecer tal como foi lançada e o inconformismo da parte embargante deve ser manifestada pela via recursal própria.

2) Expeça(m)-se mandado(s) de pagamento em favor da parte autora e/ou seu(ua) patrono(a), desde que com poderes para tanto, devendo ser observado a Portaria CGJ nº 368/2016, os momentos em que é permitida a cobrança de custas. Certificado o trânsito em julgado,  dê-se baixa e arquivem-se.";00049D794CFDB04E811525E76070F71A09F6C5052E040B3A;['2016.208.010559-4']
3;2016.021.000099-9;"5342    TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIR...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004BB06833D4B5B2C525CB99DE7FA400F8FC5053511113A;['2016.208.015579-2']
4;2016.021.000099-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004BB06833D4B5B2C525CB99DE7FA400F8FC5053511113A;['2016.208.015579-2']
5;2016.021.000099-9;"1386    TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIR...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00044BF172A62FC3B7DFEDEF187BCE76ED80C505183D1B16;['2016.208.001541-6']
6;2016.021.000099-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;00044BF172A62FC3B7DFEDEF187BCE76ED80C505183D1B16;['2016.208.001541-6']
7;2016.021.000099-9;Recebo os embargos de declaração (fls.227/229), mas deixo de acolhê-los por pretenderem efeitos claramente infringentes, não havendo qualquer omissão, contradição ou mesmo dúvida na sentença.;00044BF172A62FC3B7DFEDEF187BCE76ED80C505183D1B16;['2016.208.001541-6']
8;2016.021.000099-9;"		Vistos, etc. Dispensado o relatório, na forma do art. 38 da Lei 9.099/95, passo a decidir.

		A parte autora, devidamente intimada a praticar os atos que lhe competia, quedou-se inerte, ficando os autos paralisados por mais de 30 dias.

		Isto posto, JULGO EXTINTO O PROCESSO, sem resolução do mérito, com fundamento no artigo 485, III do Código de Processo Civil, c/c Enunciado 10.6.2 da Consolidação dos Enunciados Jurídicos Cíveis e Administrativos (Aviso TJ nº 23/2008).

		Sem custas. Após o trânsito em julgado, dê-se baixa e arquivem-se os autos.

		Defiro desde já o desentranhamento de documentos originais, exceto procuração, mediante substituição por cópias. Publique-se. Registre-se. Intimem-se.";0004EA6C5E3FD2D04FA9825E2F40A2E381DEC505382D0942;['2016.204.018150-0']
9;2016.021.000099-9;"Processo: 0241472-33.2016.8.19.0001
AUTOR: JÉSSICA LESSA DOS SANTOS
RÉU: LOJAS AMERICANAS EXPRESS


Em 14 de setembro de 2016, na sala de audiências deste juízo, perante a MMª. Drª. Juíza de Direito, MARCIA MACIEL QUARESMA, compareceu a parte autora, bem como o preposto e advogado do réu. Proposta a conciliação a mesma foi aceita nos seguintes termos: 1- A parte ré pagará à parte autora, CPF 130275997-39, nascida em 24/04/1990, através de ID depósito, a quantia de R$ 1.551,79, em até 30 dias corridos; 2 - O não pagamento do valor no prazo acordado, importará em multa de 10% sobre o débito. Pela MMª Juíza foi proferida a seguinte sentença: ¿VISTOS. ETC... HOMOLOGO o presente acordo para que surta seus jurídicos e legais efeitos, e, em conseqüência, JULGO EXTINTO o presente feito nos termos do art.269 III do CPC. Sem ônus sucumbenciais. Após a comprovação do depósito, expeça-se mandado de pagamento, independentemente de nova conclusão. Publicada em audiência. Intimados os presentes. Registre-se. Após o trânsito em julgado, dê-se baixa e arquive-se¿. Nada mais havendo, determinou a MMª Juíza o encerramento da presente. Eu Simone Iack Pinheiro, Secretária, o digitei.



MARCIA MACIEL QUARESMA 
JUIZ DE DIREITO  


Parte autora:
Advogado:

Parte ré:
Advogado:";000495A07ADD073C0738438EAB93482B3401C5052F083632;['2016.001.209915-0']
10;2016.021.000099-9;"8344    Processo: 0031120-37.2016.8.19.0021  \n\nAutor...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000448E1B87BC04615F7DF2BB1C6B7173BC2C5053A0B374B;['2016.021.030410-1']
11;2016.021.000099-9;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;000448E1B87BC04615F7DF2BB1C6B7173BC2C5053A0B374B;['2016.021.030410-1']
12;2016.021.000099-9;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação indenizatória, pelo rito sumaríssimo, por meio da qual a parte autora requer a condenação da ré à compensação por danos morais experimentados em razão de descumprimento da oferta, já que o produto adquirido não foi entregue, mas sim um diverso. Requer, ainda, seja a ré compelida a devolver o valor pago pelo produto.
	Em contestação, a ré suscita inépcia da inicial e, no mérito, aduz não existir prova do alegado nem danos de ordem extrapatrimonial, pelo que requer a improcedência dos pedidos.
Rejeito a preliminar de arguida, uma vez que a presente ação se afigura adequada e necessária ao desiderato pretendido, sendo que a existência de provas do direito alegado é questão a ser debatida no mérito.
	Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a decidir o mérito. 
Nessa esteira de raciocínio, a lei estabelece também que todo aquele que exerce atividade no campo de fornecimento de produtos e serviços tem o dever de responder objetivamente pelos danos decorrentes de descumprimento da oferta por ele veiculada. Isso porque, conforme estabelece o artigo 30 do CDC, toda informação ou publicidade veiculada pelo fornecedor o obriga a cumpri-la, e o sujeita aos efeitos trazidos no artigo 35 do mesmo diploma legal.
Nesse contexto, tendo a ré prometido a entrega de um celular dual chip na residência do autor, tal oferta vincula o fornecedor e cria ao consumidor o direito de exigir o seu cumprimento ou optar pelo desfazimento do negócio. No caso em tela, o réu não cumpriu com o que foi prometido, devendo, portanto, responder pela ilicitude praticada. 
Quanto ao pedido de compensação dos danos morais, estes, neste caso, são evidentes e ocorrem in re ipsa, já que os fatos aqui narrados causariam em qualquer pessoa um sentimento de frustração. Ademais, a conduta da ré viola o princípio da confiança, já que a parte autora acreditava que a ré cumpriria o acordado.
Nesse caso, o dano moral ocorre in re ipsa ao fato descrito, e deve ser valorado em consonância com as circunstâncias a ele inerentes e dele decorrentes, observando os critérios estabelecidos pelo princípio instrumental da razoabilidade, de modo a não servir de base para ilícito enriquecimento da vítima, mas também para que não haja o esvaziamento da indenização por sua tradução em quantias irrisórias que servem de incentivo ao desrespeito ao consumidor.
Dessa forma, a valoração do dano moral deve atender ao caráter compensatório da angústia e incomum aborrecimento imposto pela conduta dos fornecedores do produto que, aqui, não cumpriram a oferta formulada.
Simultaneamente, o valor do dano moral deve conter uma carga punitiva a fim de que as fornecedoras de serviço, principalmente as de grande porte como a parte ré, que praticamente monopolizam o mercado no qual atuam, sejam desestimuladas a repetir a prática do desrespeito ao consumidor, sob o manto da certeza de que manter um serviço falho é mais vantajoso diante do número de demandas e valores indenizatórios impostos.
Em face do exposto, JULGO PROCEDENTE, em parte, O PEDIDO para condenar a ré a: a) restituir à parte autora o valor de R$ 419,60 (quatrocentos e dezenove reais e sessenta centavos), corrigido monetariamente desde o desembolso e sobre o qual devem incidir juros legais desde a citação; b) pagar à parte autora a quantia de R$ 1.500,00 (mil e quinhentos reais) a título de compensação dos danos morais, quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença.
Defiro ao réu o prazo de 60 dias para que retire o produto na casa do autor, sob pena de perda do direito.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";0004429A83090A86CCD48F9E37AA24FED8D5C5053D234253;['2016.063.008331-2']
13;2016.021.000099-9;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se e intimem-se as partes da sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.	";0004429A83090A86CCD48F9E37AA24FED8D5C5053D234253;['2016.063.008331-2']
14;2016.021.000099-9;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";0004F98017AD518741F495ABFC0516C42CEDC505382A3242;['2016.021.029179-9']
15;2016.021.000099-9;"935    S E N T E N Ç A\n\nDispensado o relatório nos ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043C3DF70C80A8B65D1058DC0EBA36BE0DC505054B0A3B;['2016.063.001483-1']
