;processo;sentenca;similar_file;similar_processo
0;2016.001.017451-9;"4039    Vistos, etc.\nDispensado relatório nos termos ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A85D699DB0CA34B3FAABDEBFC5029E37C505190F1E4B;['2016.021.025487-0']
1;2016.001.017451-9;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;0004A85D699DB0CA34B3FAABDEBFC5029E37C505190F1E4B;['2016.021.025487-0']
2;2016.001.017451-9;"Sustenta o   Recorrente  através do  Recurso de  Embargo de  Declaração    em face   da  Sentença   proferida  ,   vicio   que deve ensejar  a  devida    integração  para o  aperfeiçoamento da  prestação jurisdicional .

Não merece   reparo  a  Sentença    eis que entendo que   já  houve  pronunciamento correto e preciso   sob todos os   pontos   sustentados       na peça inicial como na   defesa da  ré.

Esclareço por fim  que   pretende  a  Embargante  por  via  reflexa discutir o mérito   da Sentença não sendo o  Embargos de  Declaração o Recurso  cabível.

Deve ser acrescentado ainda que o Recurso  é   inadequado  em razão da   sua devolutividade restrita  , o  que não permite   alteração   substancial. 

Ante o exposto ,  conheço do recurso e nego provimento ao mesmo .
Intimem-se.";0004A85D699DB0CA34B3FAABDEBFC5029E37C505190F1E4B;['2016.021.025487-0']
3;2016.001.017451-9;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, bdo CPC.  Defiro, desde já expedição  de guia e de  mandado de pagamento, se for o caso, independente de nova conclusão.  Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;000414D03F585CFEC1D7ECD79A3560D505C0B7C505010B22;['2016.204.006493-3']
4;2016.001.017451-9;"11236    Processo nº 0026314-77.2016.8.19.0208\nParte A...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00045AFE869188FE9D739A44B60AA326A09BC5055A264F53;['2016.208.026014-9']
5;2016.001.017451-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;00045AFE869188FE9D739A44B60AA326A09BC5055A264F53;['2016.208.026014-9']
6;2016.001.017451-9;"PROJETO DE SENTENÇA

Ainda que dispensado o relatório, na forma do artigo 38 da lei 9.009/95., faço um breve resumo, após o qual passo a decidir.
Trata-se de ação de compensação por morais proposta por RICARDO MENEZES MONTEIRO em face de N2S.COM INTERNET S.A (NETSHOES), em que alega ter a ré realizado propaganda enganosa em Black Friday.
A ré, em sua contestação, alega ter procedido de forma regular, não havendo qualquer dano ao autor.
Presentes os pressupostos processuais e as condições ao regular exercício do direito de ação, passa-se ao mérito.
É inegável tratar-se de relação de consumo, na medida em que estão presentes as figuras do consumidor, do fornecedor e do serviço, na forma dos arts. 2º e 3º do CDC, estando presentes os elementos subjetivos e objetivo.
A parte autora alega a ocorrência de um fato do serviço (art. 14 do CDC), na medida em que haveria, por parte a ré, a realização de propaganda enganosa em Black Friday.
A responsabilidade civil dos fornecedores, pelo fato do serviço, serviço é objetiva e baseada na teoria do risco da atividade. Assim, caberá apenas a configuração de conduta, dano e nexo causal.
De acordo com o art. 30 do CDC, vincula-se o fornecedor ao preço do produto da forma como foi oferecida, devendo as informações serem claras, precisas e ostensivas (art. 31 do CDC).
Assim que, havendo alegação de propaganda abusiva, segundo prevê o art. 38 do CDC, há inversão do ônus da prova ope legis, não havendo que se falar em necessidade do consumidor comprovar que a propaganda realizada foi falsa, sendo ônus exclusivo do fornecedor a prova de que não houve tal vinculação, no que não obteve êxito.
Porém, quanto aos fatos constitutivos de seu direito, não há como se entender que haja tal inversão, notadamente quanto aos prejuízos ocasionados pela conduta da ré, devendo tais fatos serem comprovados pelo autor, na forma do ar. 373, I do CPC/2015 (art. 333, I do CPC/1973).
Em que pese o autor trazer aos autos os pedidos de fls. 15-18 e fls. 19, não traz aos autos a propaganda que alude ter sido enganosa, não sendo suficiente que tenha realizado o pagamento em igual valor, sendo essencial a propaganda em que se verifique a ré aduz conceder desconto, não havendo que se falar em conduta ilícita da ré capaz de gerar o dever de indenizar.
Diante do exposto, julgo IMPROCEDENTES os pedidos, na forma do art. 487, I do CPC/2015 (art. 269, I, do CPC/1973).
Isento dos ônus sucumbências, na forma do art. 55 da lei 9.099/95. Submeto este Projeto de Sentença ao Juiz Togado, na forma do que dispõe o art. 40 da lei 9.099/95.

Rio de Janeiro, 15 de julho de 2016.

Janayme Vieira de Moraes
Juíza Leiga";00041665C445452BD83CAE75AE19EB2B54B3C505200D5223;['2016.001.107739-0']
7;2016.001.017451-9;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00041665C445452BD83CAE75AE19EB2B54B3C505200D5223;['2016.001.107739-0']
8;2016.001.017451-9;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";0004A1FE26D0D04A84B9A8BD39679FC9BD46C5051D333517;['2016.208.007722-7']
9;2016.001.017451-9;"Processo :0005005-12.2016.8.19.0204

Autor: LEONARDO FONSECA LARRAT

Réu: NET SHOES- NS2.COM.INTERNET S.A

			
			PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9.099/95.

A parte autora alega, em síntese, que adquiriu no site da ré produto que não foi entregue. Afirma que pagou uma taxa para ser entregue de forma mais célere. Requer indenização por danos morais, entrega do produto ( ou restituição do valor pago).

Em contestação a ré suscita que não possível a entrega no endereço do autor, tendo disponibilizado o produto em uma agência dos Correios.
Não tendo preliminares a serem analisadas, passo ao exame de mérito.
No mérito, trata-se de relação de consumo nos termos do art. 2º e 3º do CDC razão pela qual a lide deve ser analisada a luz dos princípios próprios que regem o direito do consumidor.
Restou incontroverso que o produto adquirido pela parte autora em 27 de julho de 2012, descrito nos autos, não foi entregue ao demandante,pois a empresa ré não nega tal fato, o que cabia fazer, por força do artigo 6º, VIII do CDC.


Com efeito, a parte ré não demonstra que a entrega tenha restado infrutífera em razão da alegada e não comprovada falha do serviço prestado pela transportadora, ônus que lhe competia, nos termos do artigo 373, II do NCPC. Ademais, não restou comprovado que foi informado ao autor no momento da compra da impossibilidade da entrega em seu endereço, faltando com o dever de informação que deve estar presente em todas as relações consumeristas.
Ressalte-se que a responsabilidade objetiva do fornecedor prescinde de apuração de culpa, não a eximindo, outrossim, de eventual falha dos seus parceiros operacionais.
Assim sendo, merece acolhimento o pedido de danos materiais.
Restou configurado o dano moral indenizável, tendo em vista que aparte autora teve frustrada a sua legítima expectativa em receber o produto adquirido no tempo e modo contratado no ato da compra. O quantum indenizatório levará em consideração o que consta nos autos, atento ao princípio da proporcionalidade, sem representar enriquecimento sem causa à parte autora, mas relacionado ao viés pedagógico e punitivo da reparação, mostrando-se razoável a quantia de R$ 1.000,00 (mil  reais).
Ante o exposto, JULGO PROCEDENTE EM PARTE OS PEDIDOS da parte autora para condenar a ré : 1- condenar o réu a pagar ao autor indenização por danos morais no valor de R$ 1.000,00 (mil reais), com correção monetária desde a data da sentença e juros de 1% ao mês a partir da citação.; 2)  restituir à parte autora a quantia de R$ 149,80 ( cento e quarenta e nove reais e oitenta centavos), pagos pelo produto e pelo frete, corrigidos monetariamente a partir do desembolso, conforme sumula 43 STJ  e com a incidência de juros no percentual de 1% ao mês a contar da citação, de acordo com o artigo 406 do Código Civil c/c artigo 161 do Código Tributário Nacional.

Com isto, Julgo extinto o processo com julgamento de mérito, nos termos do artigo 487,I, CPC.
Nos termos do enunciado 13.9.1, devera o réu efetivar o pagamento da quantia acima no prazo de 15 dias a contar do transito em julgado sob pena de multa do artigo 523, § 1º NCPC, independentemente de nova intimação.
Sem custas e honorários de sucumbência, nos termos do art. 55 da Lei 9.0099/95.
Submeto a apreciação do MM. Juiz de Direito conforme artigo 40 da Lei 9.099/ 95. Rio de Janeiro, 16 de abril de 2016. Juliana de Mattos Braga ¿ juíza leiga


				
";00046BE98170F1DC3207689E547D1F806F25C504610A4939;['2016.204.004991-9']
